Massachusetts Institute of Technology (MIT)	1
Stanford University	2
Carnegie Mellon University	3
National University of Singapore (NUS)	4
University of California, Berkeley (UCB)	5
University of Oxford	6
Harvard University	7
University of Cambridge	8
Ecole Polytechnique Federale de Lausanne (EPFL)	9
ETH Zurich - Swiss Federal Institute of Technology	10
University of Toronto	11
Nanyang Technological University, Singapore (NTU)	12
Tsinghua University	13
Princeton University	14
University of Washington	15
Imperial College London	16
University of California, Los Angeles (UCLA)	17
Columbia University	18
Cornell University	19
Peking University	20
New York University (NYU)	21
California Institute of Technology (Caltech)	22
University College London (UCL)	23
University of Waterloo	23
University of British Columbia	25
University of Edinburgh	26
University of Tokyo	27
University of Texas at Austin	28
Shanghai Jiao Tong University	29
Hong Kong University of Science and Technology	30
Chinese University of Hong Kong (CUHK)	31
Korea Advanced Institute of Science and Technology (KAIST)	32
University of Illinois at Urbana-Champaign	33
University of Pennsylvania	33
Technical University of Munich	35
Paris Sciences et Lettres (PSL)	35
Yale University	35
Georgia Institute of Technology	38
University of Melbourne	39
University of Amsterdam	40
Seoul National University	41
KTH Royal Institute of Technology	42
University of Hong Kong	43
Fudan University	44
Politecnico di Milano	44
University of Michigan-Ann Arbor	46
University of Chicago	47
Zhejiang University	47
McGill University	49
University of Sydney	50
Australian National University	51
University of Southern California	52
University of California, San Diego (UCSD)	53
University of Maryland, College Park	54
Ecole Polytechnique	55
KU Leuven	55
Sorbonne University	57
Lomonosov Moscow State University	58
King Abdulaziz University (KAU)	59
University of New South Wales (UNSW Sydney)	59
Universite of Montreal	61
King's College London	62
National Taiwan University (NTU)	62
Eindhoven University of Technology	64
TELECOM Paris	64
University of Manchester	66
Indian Institute of Technology Bombay (IITB)	67
City University of Hong Kong	68
Purdue University	69
Indian Institute of Technology Delhi (IITD)	70
CentraleSupelec	71
Delft University of Technology	72
Technische Universität Berlin (TU Berlin)	73
ITMO University	74
University of Technology Sydney	75
Monash University	76
University of Science and Technology of China	77
Universiti Malaya (UM)	78
Ludwig-Maximilians-Universität München	79
RWTH Aachen University	79
Universidad de Chile	79
Universidade de São Paulo	79
Universitat Politècnica de Catalunya · BarcelonaTech (UPC)	79
Sapienza University of Rome	84
University of North Carolina, Chapel Hill	84
Korea University	86
Duke University	87
Johns Hopkins University	87
Technische Universität Wien	89
Trinity College Dublin, University of Dublin	89
University of Wisconsin–Madison	89
Boston University	92
KIT, Karlsruhe Institute of Technology	92
Universidad Nacional Autónoma de Mexico (UNAM)	94
University of Massachusetts Amherst	95
Aalto University	96
University of Warwick	96
Universite catholique de Louvain (UCLouvain)	96
Aarhus University	99
University of Adelaide	99
