name,rank
Massachusetts Institute of Technology (MIT),1
Stanford University,2
"University of California, Berkeley",3
Carnegie Mellon University,4
ETH Zurich,5
Tsinghua University,6
Harvard University,7
Nanyang Technological University,8
University of Oxford,9
"University of California, Los Angeles",10
University of Technology Sydney,11
University of Electronic Science and Technology of China,12
University of Toronto,13
Princeton University,14
National University of Singapore,15
Shanghai Jiao Tong University,16
University of Southern California,17
Cornell University,18
Zhejiang University,19
University of North Carolina at Chapel Hill,20
Harbin Institute of Technology,21
Peking University,22
Huazhong University of Science and Technology,23
Beihang University,24
The Chinese University of Hong Kong,24
University of Science and Technology of China,24
The University of Edinburgh,27
Xidian University,28
The University of Texas at Austin,29
Georgia Institute of Technology,30
University of Michigan-Ann Arbor,31
New York University,32
University College London,33
University of Oslo,34
Southeast University,35
University of Washington,36
City University of Hong Kong,37
University of Sydney,38
Imperial College London,39
University of Wisconsin - Madison,40
Dalian University of Technology,41
The Hong Kong Polytechnic University,42
Columbia University,43
Northwestern Polytechnical University,44
Sun Yat-sen University,45
Beijing University of Posts and Telecommunications,46
Wuhan University,47
The University of Adelaide,48
University of Montreal,49
The Hong Kong University of Science and Technology,50
University of Cambridge,50
Aalto University,51-75
Beijing Institute of Technology,51-75
Central South University,51-75
Johns Hopkins University,51-75
King Abdulaziz University,51-75
Nanjing University,51-75
Nanjing University of Information Science & Technology,51-75
Nanjing University of Science and Technology,51-75
Shenzhen University,51-75
South China University of Technology,51-75
Swiss Federal Institute of Technology Lausanne,51-75
Technical University of Munich,51-75
The Australian National University,51-75
The University of New South Wales,51-75
Tianjin University,51-75
University of Alberta,51-75
University of British Columbia,51-75
"University of California, San Diego",51-75
University of Copenhagen,51-75
University of Illinois at Urbana-Champaign,51-75
"University of Maryland, College Park",51-75
University of Waterloo,51-75
Weizmann Institute of Science,51-75
Xi'an Jiaotong University,51-75
Arizona State University,76-100
Deakin University,76-100
Griffith University,76-100
Guangdong University of Technology,76-100
King Abdullah University of Science and Technology,76-100
Korea Advanced Institute of Science and Technology,76-100
KTH Royal Institute of Technology,76-100
Michigan State University,76-100
National University of Defense Technology,76-100
Northeastern University (Shenyang),76-100
Northumbria University,76-100
Paris-Saclay University,76-100
PSL University,76-100
Purdue University - West Lafayette,76-100
"Rutgers, The State University of New Jersey - New Brunswick",76-100
Sichuan University,76-100
Swinburne University of Technology,76-100
Technical University of Denmark,76-100
The University of Hong Kong,76-100
The University of Melbourne,76-100
Tongji University,76-100
Université Grenoble Alpes,76-100
"University of California, Merced",76-100
University of Macau,76-100
University of Pennsylvania,76-100
Xiamen University,76-100
Beijing Jiaotong University,101-150
Brown University,101-150
Brunel University,101-150
China University of Geosciences (Wuhan),101-150
Chongqing University,101-150
Delft University of Technology,101-150
Duke University,101-150
Fudan University,101-150
Guangzhou University,101-150
Hamad Bin Khalifa University-Qatar,101-150
Hefei University of Technology,101-150
Heidelberg University,101-150
Hunan University,101-150
King Saud University,101-150
King's College London,101-150
KU Leuven,101-150
Lancaster University,101-150
McGill University,101-150
McMaster University,101-150
Monash University,101-150
Nanjing University of Aeronautics and Astronautics,101-150
Nanjing University of Posts and Telecommunications,101-150
New Jersey Institute of Technology,101-150
Newcastle University,101-150
Northeastern University (Boston),101-150
Polytechnic University of Milan,101-150
RMIT University,101-150
Seoul National University,101-150
Shandong University,101-150
Simon Fraser University,101-150
Singapore Management University,101-150
Singapore University of Technology & Design,101-150
Temple University,101-150
The Ohio State University - Columbus,101-150
The University of Queensland,101-150
The University of Texas at San Antonio,101-150
The University of Tokyo,101-150
"University at Buffalo, the State University of New York",101-150
"University of California, Davis",101-150
"University of California, Irvine",101-150
University of Florida,101-150
University of Granada,101-150
University of Iowa,101-150
"University of Minnesota, Twin Cities",101-150
University of Southampton,101-150
University of Surrey,101-150
Victoria University,101-150
Virginia Polytechnic Institute and State University,101-150
Aalborg University,151-200
Bohai University,151-200
Carleton University,151-200
Dalian Maritime University,151-200
De Montfort University,151-200
East China Normal University,151-200
Hangzhou Dianzi University,151-200
Hong Kong Baptist University,151-200
Indiana University Bloomington,151-200
International Institute of Information Technology Hyderabad,151-200
Korea University,151-200
Lulea University of Technology,151-200
Macau University of Science and Technology,151-200
Nankai University,151-200
Northwestern University,151-200
Pennsylvania State University - University Park,151-200
Polytechnic University of Catalonia,151-200
Qatar University,151-200
Queen Mary University of London,151-200
Radboud University Nijmegen,151-200
Sapienza University of Rome,151-200
Shanghai University,151-200
Sorbonne University,151-200
Southwest Jiaotong University,151-200
Southwest University,151-200
St. Francis Xavier University,151-200
Stony Brook University,151-200
Technion-Israel Institute of Technology,151-200
Tel Aviv University,151-200
Texas A and M University at Qatar,151-200
Texas A&M University,151-200
The University of Manchester,151-200
The University of Texas at Arlington,151-200
University at Albany (State University of New York),151-200
University of Amsterdam,151-200
University of Birmingham,151-200
University of Bristol,151-200
University of Chicago,151-200
University of Freiburg,151-200
University of Houston,151-200
University of Malaya,151-200
University of Oulu,151-200
University of Pittsburgh,151-200
University of Science and Technology Beijing,151-200
University of Warwick,151-200
University of Wollongong,151-200
Vanderbilt University,151-200
Vienna University of Technology,151-200
Yangzhou University,151-200
York University,151-200
Aarhus University,201-300
Anhui University,201-300
Beijing University of Technology,201-300
Ben-Gurion University of the Negev,201-300
Boston University,201-300
California Institute of Technology,201-300
Cardiff University,201-300
Case Western Reserve University,201-300
Changsha University of Science and Technology,201-300
Chongqing University of Posts and Telecommunications,201-300
COMSATS University Islamabad,201-300
Concordia University,201-300
Dongguan University of Technology,201-300
Eindhoven University of Technology,201-300
Fuzhou University,201-300
Georgia State University,201-300
Ghent University,201-300
Graz University of Technology,201-300
Harbin Engineering University,201-300
Hohai University,201-300
Huaqiao University,201-300
Hunan University of Science and Technology,201-300
Islamic Azad University,201-300
Karlsruhe Institute of Technology (KIT),201-300
Liaoning University of Technology,201-300
Macquarie University,201-300
Missouri University of Science and Technology,201-300
National Taiwan University,201-300
National Taiwan University of Science and Technology,201-300
North Carolina State University - Raleigh,201-300
Qingdao University,201-300
Queen's University Belfast,201-300
