name,rank
Harvard University,1
INSEAD,2
London Business School,3
Massachusetts Institute of Technology (MIT),4
Stanford University,5
University of Pennsylvania,6
Bocconi University,7
University of Cambridge,8
HEC Paris School of Management,9
University of Oxford,10
The London School of Economics and Political Science (LSE),11
National University of Singapore (NUS),12
"University of California, Berkeley (UCB)",13
Northwestern University,14
Copenhagen Business School,15
Erasmus University Rotterdam,16
New York University (NYU),17
Yale University,18
Columbia University,19
"Nanyang Technological University, Singapore (NTU)",20
Universitat Ramon Llull,21
The Hong Kong University of Science and Technology,22
University of Chicago,23
The University of Warwick,24
University of Navarra,25
The University of Melbourne,26
University of Michigan-Ann Arbor,27
IE University,28
"University of California, Los Angeles (UCLA)",29
University of St.Gallen (HSG),30
Tsinghua University,31
The University of Manchester,32
ESSEC Business School,33
Imperial College London,34
Peking University,35
Shanghai Jiao Tong University,=36
Tecnológico de Monterrey,=36
Singapore Management University,=38
University of Toronto,=38
The University of New South Wales (UNSW Sydney),40
Seoul National University,41
WU (Vienna University of Economics and Business),42
The University of Sydney,43
The University of Hong Kong,44
Monash University,=45
University of British Columbia,=45
Cornell University,47
Korea University,48
Duke University,49
Fudan University,50
Pontificia Universidad Católica de Chile (UC),51
The Chinese University of Hong Kong (CUHK),=52
The Hong Kong Polytechnic University,=52
Universität Mannheim,=54
University of Texas at Austin,=54
Politecnico di Milano,56
KAIST - Korea Advanced Institute of Science & Technology,57
City University of Hong Kong,58
Yonsei University,59
McGill University,60
"City, University of London",=61
The University of Queensland,=61
The Australian National University,=63
Stockholm School of Economics,=63
Tilburg University,=63
emlyon business school,=66
Lancaster University,=66
Michigan State University,=66
The University of Tokyo,69
ESCP Business School - Paris,70
Aalto University,71
University of Bath,72
Pennsylvania State University,72
IMD,73
Princeton University,=74
Western University,=74
Indian Institute of Management (IIM) - Bangalore,=76
Sungkyunkwan University (SKKU),=76
Universiti Malaya (UM),=76
Carnegie Mellon University,79
Indian Institute of Management (IIM) - Ahmedabad,=80
University of Leeds,=80
Université de Montréal,82
Texas A&M University,83
Oxford Brookes University,=84
Georgia Institute of Technology,86
KU Leuven,=87
University of Amsterdam,=87
Universidad de los Andes,89
Universidade de São Paulo,=90
University of Southern California,=90
National Taiwan University (NTU),=92
Université PSL,=92
The University of Auckland,=94
UCL,=94
University of Strathclyde,=96
Zhejiang University,=96
Universidad de Chile,98
Aston University,=99
Technical University of Munich,=99
Universidad Adolfo Ibáñez,=99
Boston University,=102
King's College London,=102
The University of Edinburgh,104
BI Norwegian Business School,=105
Luiss University,=105
Universidad Nacional Autónoma de México  (UNAM),=105
Indiana University Bloomington,108
WHU - Otto Beisheim School of Management,109
Renmin (People's) University of China,110
Hitotsubashi University,111
Arizona State University,=112
Dartmouth College,=112
Hanyang University,=114
University of Illinois at Urbana-Champaign,=114
York University,=114
The Ohio State University,=117
University of Florida,=117
Waseda University,119
Lund University,120
Durham University,=121
Fundação Getulio Vargas (FGV),=121
Purdue University,=121
Universidad Carlos III de Madrid (UC3M),=121
University of Alberta,=121
