name,rank
Massachusetts Institute of Technology,=1
Stanford University,=1
University of Cambridge,3
University of Oxford,4
Harvard University,5
"University of California, Berkeley",6
The University of Chicago,7
Yale University,8
London School of Economics and Political Science,9
Duke University,10
Tsinghua University,11
University of Pennsylvania,12
Northwestern University,13
Columbia University,14
National University of Singapore,15
New York University,17
University of Michigan-Ann Arbor,18
"University of California, Los Angeles",19
UCL,20
ETH Zurich,21
Peking University,22
Cornell University,23
University of Warwick,24
Hong Kong Polytechnic University,25
Erasmus University Rotterdam,26
Carnegie Mellon University,27
University of Toronto,28
Copenhagen Business School,=29
The University of Tokyo,=29
University of Manchester,31
"University of California, San Diego",32
The Hong Kong University of Science and Technology,33
University of Hong Kong,34
University of British Columbia,35
University of Minnesota,36
Boston University,=37
Tilburg University,=37
The University of Queensland,=39
University of Southern California,=39
University of Edinburgh,41
University of Mannheim,42
University of Melbourne,43
Arizona State University (Tempe),44
University of Washington,45
LMU Munich,46
University of Zurich,47
Dartmouth College,48
"Nanyang Technological University, Singapore",49
University of Texas at Austin,=50
University of Wisconsin-Madison,=50
Michigan State University,52
Johns Hopkins University,=53
Monash University,=53
Shanghai Jiao Tong University,=55
Technical University of Munich,=55
UNSW Sydney,=55
Chinese University of Hong Kong,58
University of St Gallen,59
Aalto University,60
University of Surrey,61
KU Leuven,62
Kyoto University,63
McGill University,64
University of Leeds,=65
Seoul National University,=65
University of Bonn,=67
Zhejiang University,=67
Indiana University,=69
University of North Carolina at Chapel Hill,=69
Fudan University,71
Maastricht University,=72
Pompeu Fabra University,=72
"University of California, Davis",74
Lund University,75
University of Montreal,76
National Taiwan University (NTU),77
Yonsei University (Seoul campus),78
King’s College London,79
Australian National University,80
University of Vienna,81
Penn State (Main campus),82
University of Amsterdam,=83
University of Groningen,=83
Lancaster University,85
University of Florida,86
Washington University in St Louis,87
Nanjing University,=88
Ohio State University (Main campus),=88
Boston College,90
University of Sussex,91
University of Twente,=92
Vrije Universiteit Amsterdam,=92
City University of Hong Kong,94
Sant’Anna School of Advanced Studies – Pisa,95
University of Illinois at Urbana-Champaign,96
Georgia Institute of Technology,97
"University of Maryland, College Park",98
University of Nottingham,99
University of Glasgow,100
University of Alberta,101–125
Autonomous University of Barcelona,101–125
University of Bath,101–125
University of Birmingham,101–125
Federal University of Toulouse Midi-Pyrénées,101–125
Ghent University,101–125
Griffith University,101–125
Linköping University,101–125
Newcastle University,101–125
Paris Sciences et Lettres – PSL Research University Paris,101–125
Politecnico di Milano,101–125
Universitat Ramon Llull,101–125
Rice University,101–125
University of Rochester,101–125
Rutgers University – New Brunswick,101–125
University of Sheffield,101–125
University of Southampton,101–125
Sun Yat-sen University,101–125
University of Sydney,101–125
Technical University of Berlin,101–125
University of Technology Sydney,101–125
Texas A&M University,101–125
Trinity College Dublin,101–125
University of Virginia (Main campus),101–125
University of Waikato,101–125
Aston University,126–150
University of Bayreuth,126–150
Beijing Normal University,126–150
University of Bristol,126–150
Cardiff University,126–150
Chalmers University of Technology,126–150
"City, University of London",126–150
