name,rank
Paris-Saclay University,1
Princeton University,2
Sorbonne University,3
University of Cambridge,4
University of Oxford,5
Stanford University,6
Massachusetts Institute of Technology (MIT),7
New York University,8
ETH Zurich,9
The University of Texas at Austin,10
"University of California, Los Angeles",11
"University of California, Berkeley",12
PSL University,13
University of Bonn,14
University of Wisconsin - Madison,15
Harvard University,16
Imperial College London,17
University of Warwick,18
Stony Brook University,19
University of Chicago,20
"Rutgers, The State University of New Jersey - New Brunswick",21
University of Paris,22
Kyoto University,23
The Hebrew University of Jerusalem,24
Columbia University,25
University of Toronto,26
University of Illinois at Urbana-Champaign,27
University of Michigan-Ann Arbor,27
Georgia Institute of Technology,29
Northwestern University,30
KTH Royal Institute of Technology,31
University of Vienna,32
"University of Maryland, College Park",33
The University of Edinburgh,34
Ecole Normale Superieure - Lyon,35
Tel Aviv University,36
Brown University,37
California Institute of Technology,38
University of Zurich,39
Peking University,39
Texas A&M University,41
"University of California, San Diego",42
University of Washington,43
University of British Columbia,44
Swiss Federal Institute of Technology Lausanne,45
Fudan University,46
Université Grenoble Alpes,47
University of Muenster,48
Purdue University - West Lafayette,49
Aix Marseille University,50
Humboldt University of Berlin,51-75
Indiana University Bloomington,51-75
International School for Advanced Studies,51-75
King Abdulaziz University,51-75
McGill University,51-75
National University of Singapore,51-75
Paul Sabatier University (Toulouse 3),51-75
Rice University,51-75
Sapienza University of Rome,51-75
Technical University of Munich,51-75
The University of Tokyo,51-75
Tsinghua University,51-75
Université Gustave Eiffel,51-75
University College London,51-75
University of Bordeaux,51-75
"University of California, Irvine",51-75
University of Geneva,51-75
University of Milan,51-75
"University of Minnesota, Twin Cities",51-75
University of Sao Paulo,51-75
University of Science and Technology of China,51-75
University of Utah,51-75
Weizmann Institute of Science,51-75
Yale University,51-75
Boston College,76-100
City University of Hong Kong,76-100
Claude Bernard University Lyon 1,76-100
Cornell University,76-100
Ecole Centrale Lyon,76-100
HSE University,76-100
INSA Lyon,76-100
KU Leuven,76-100
Paris 13 University,76-100
Polytechnic University of Catalonia,76-100
Shanghai Jiao Tong University,76-100
Sun Yat-sen University,76-100
The Ohio State University - Columbus,76-100
University of Alberta,76-100
University of Copenhagen,76-100
University of Côte d'Azur,76-100
University of Florida,76-100
University of Granada,76-100
University of Pavia,76-100
University of Rennes 1,76-100
University of Roma - Tor Vergata,76-100
University of Virginia,76-100
University of Warsaw,76-100
University Paris Est Creteil,76-100
Wuhan University,76-100
Autonomous University of Madrid,101-150
Bielefeld University,101-150
Carnegie Mellon University,101-150
Catholic University of Louvain,101-150
Chalmers University of Technology,101-150
Charles University in Prague,101-150
China Medical University (Taichung),101-150
Complutense University of Madrid,101-150
Duke University,101-150
Goethe University Frankfurt,101-150
Harbin Institute of Technology,101-150
