name,rank
"University of California, Berkeley",1
California Institute of Technology,=2
Princeton University,=2
Massachusetts Institute of Technology,=4
Stanford University,=4
Harvard University,6
University of Cambridge,7
University of Oxford,8
ETH Zurich,9
Yale University,10
The University of Chicago,=11
Columbia University,13
Imperial College London,13
"University of California, Los Angeles",14
Peking University,15
National University of Singapore,16
Cornell University,17
Tsinghua University,18
École Polytechnique Fédérale de Lausanne,19
Paris Sciences et Lettres – PSL Research University Paris,20
University of Washington,21
Institut Polytechnique de Paris,22
Technical University of Munich,23
LMU Munich,24
UCL,25
University of Michigan-Ann Arbor,26
"University of California, Santa Barbara",=27
University of Toronto,=27
Heidelberg University,29
Fudan University,30
The University of Tokyo,31
Johns Hopkins University,32
University of Texas at Austin,33
University of Pennsylvania,34
"Nanyang Technological University, Singapore",=35
Northwestern University,=35
University of Illinois at Urbana-Champaign,37
"University of California, San Diego",38
University of Science and Technology of China,39
Georgia Institute of Technology,40
Université Paris-Saclay,41
University of Edinburgh,42
Australian National University,=43
Nanjing University,=43
University of Manchester,45
University of British Columbia,46
"University of Maryland, College Park",=47
Sorbonne University,=47
University of Wisconsin-Madison,49
University of Colorado Boulder,50
Duke University,51
Carnegie Mellon University,52
University of Hong Kong,53
New York University,54
Delft University of Technology,55
Humboldt University of Berlin,56
University of Melbourne,57
The Hong Kong University of Science and Technology,58
"University of California, Irvine",59
Leiden University,60
University of Bonn,61
University of Arizona,62
Technical University of Berlin,63
University of Göttingen,64
Penn State (Main campus),=65
Utrecht University,=65
Kyoto University,67
Brown University,=68
Scuola Normale Superiore di Pisa,=68
University of Bristol,70
Moscow Institute of Physics and Technology (MIPT),=71
Wageningen University & Research,=71
Université de Paris,73
McGill University,74
University of North Carolina at Chapel Hill,75
University of Groningen,76
Karlsruhe Institute of Technology,77
Chinese University of Hong Kong,=78
Lund University,=78
"University of California, Davis",80
Shanghai Jiao Tong University,81
UNSW Sydney,82
RWTH Aachen University,=83
Stockholm University,=83
Boston University,85
University of Amsterdam,86
Rice University,=87
University of Southampton,=87
The University of Queensland,89
King Abdulaziz University,=90
University of Zurich,=90
Sapienza University of Rome,92
Free University of Berlin,93
King’s College London,94
University of Bern,=95
Lomonosov Moscow State University,=95
Université Grenoble Alpes,97
University of Copenhagen,98
Durham University,99
KU Leuven,=100
Monash University,=100
Zhejiang University,=100
Aarhus University,101–125
Arizona State University (Tempe),101–125
"University of California, Santa Cruz",101–125
City University of Hong Kong,101–125
