Massachusetts Institute of Technology (MIT)	1
Stanford University	2
University of California, Berkeley (UCB)	3
Carnegie Mellon University	4
ETH Zurich - Swiss Federal Institute of Technology	5
Harvard University	6
Tsinghua University	7
Nanyang Technological University, Singapore (NTU)	8
University of Toronto	9
University of Oxford	10
University of California, Los Angeles (UCLA)	11
Princeton University	12
University of Technology Sydney	13
Cornell University	14
University of Southern California	15
University of Texas at Austin	16
University of North Carolina at Chapel Hill	17
National University of Singapore (NUS)	18
Shanghai Jiao Tong University	19
Zhejiang University	20
Harbin Institute of Technology	21
Chinese University of Hong Kong (CUHK)	22
University College London (UCL)	23
Peking University	24
University of Science and Technology of China	25
University of Michigan-Ann Arbor	26
New York University (NYU)	27
Huazhong University of Science and Technology	28
Georgia Institute of Technology	29
University of Electronic Science and Technology of China	30
University of Edinburgh	31
City University of Hong Kong	32
University of Washington	33
Imperial College London	34
Xidian University	35
Columbia University	36
Beihang University	37
University of Cambridge	38
University of Wisconsin–Madison	39
University of Adelaide	40
Hong Kong Polytechnic University	41
University of Illinois at Urbana-Champaign	42
Southeast University	43
Ecole Polytechnique Federale de Lausanne (EPFL)	44
University of Copenhagen	44
University of Montreal	44
University of Oslo	47
Dalian University of Technology	48
University of Sydney	49
King Abdulaziz University	50
Aalto University	51
Beijing Institute of Technology	51
Beijing University of Posts and Telecommunications	51
Johns Hopkins University	51
Nanjing University	51
Nanjing University of Information Science and Technology	51
Northwestern Polytechnical University	51
Purdue University - West Lafayette	51
Shenzhen University	51
Sun Yat-sen University	51
Technical University of Munich	51
Australian National University	51
Hong Kong University of Science and Technology	51
University of New South Wales	51
Tianjin University	51
Universite Grenoble Alpes	51
University of Alberta	51
University of British Columbia	51
University of California, San Diego	51
University of Maryland, College Park	51
University of Pennsylvania	51
University of Waterloo	51
Weizmann Institute of Science	51
Wuhan University	51
Xi'an Jiaotong University	51
Arizona State University	76
Central South University	76
Deakin University	76
Griffith University	76
Guangdong University of Technology	76
Karlsruhe Institute of Technology (KIT)	76
King Abdullah University of Science and Technology	76
Korea Advanced Institute of Science and Technology (KAIST)	76
KTH Royal Institute of Technology	76
KU Leuven	76
Michigan State University	76
Nanjing University of Science and Technology	76
Northeastern University (Shenyang)	76
Northumbria University	76
Rutgers, State University of New Jersey - New Brunswick	76
RWTH Aachen University	76
Sichuan University	76
South China University of Technology	76
Technical University of Denmark	76
University of Hong Kong	76
University of Melbourne	76
Tongji University	76
University of California, Irvine	76
University of Macau	76
Paris-Saclay University	76
