1	Massachusetts Institute of Technology (MIT)	1.67
2	Stanford University	2.00
3	Carnegie Mellon University	4.00
4	University of California, Berkeley (UCB)	5.67
5	University of Oxford	5.67
6	ETH Zurich - Swiss Federal Institute of Technology	6.33
7	Harvard University	6.67
8	National University of Singapore (NUS)	10.00
9	Tsinghua University	10.67
10	Princeton University	12.33
11	Nanyang Technological University, Singapore (NTU)	12.67
12	University of Toronto	14.33
13	University of California, Los Angeles (UCLA)	14.67
14	Cornell University	15.67
15	University of Cambridge	17.33
16	Imperial College London	20.00
17	University College London (UCL)	21.33
18	Ecole Polytechnique Federale de Lausanne (EPFL)	23.00
19	University of Washington	23.00
20	Peking University	24.00
21	University of Texas at Austin	24.67
22	Columbia University	26.00
23	University of Edinburgh	26.33
24	Georgia Institute of Technology	26.67
25	Shanghai Jiao Tong University	27.67
26	New York University (NYU)	28.00
27	University of Illinois at Urbana-Champaign	31.67
28	Chinese University of Hong Kong (CUHK)	32.00
29	California Institute of Technology (Caltech)	32.67
30	University of Michigan-Ann Arbor	32.67
31	Technical University of Munich	33.33
32	University of Southern California	34.67
33	Zhejiang University	35.67
34	Hong Kong University of Science and Technology	37.33
35	Yale University	38.33
36	University of Technology Sydney	38.33
37	University of Pennsylvania	38.67
38	University of Waterloo	39.67
39	University of Tokyo	39.67
40	University of North Carolina at Chapel Hill	39.67
41	Harbin Institute of Technology	41.00
42	University of British Columbia	41.33
43	Korea Advanced Institute of Science and Technology (KAIST)	41.67
44	University of Science and Technology of China	42.33
45	Johns Hopkins University	43.00
46	University of Montreal	43.00
47	University of Chicago	43.33
48	Huazhong University of Science and Technology	43.33
49	Paris Sciences et Lettres (PSL)	43.67
50	University of Electronic Science and Technology of China	44.00
51	University of Hong Kong	44.33
52	University of Wisconsin–Madison	44.67
53	City University of Hong Kong	44.67
54	Xidian University	45.67
55	Seoul National University	46.33
56	University of California, San Diego	46.33
57	Beihang University	46.33
58	University of Melbourne	47.00
59	University of Amsterdam	47.33
60	University of Adelaide	47.33
