1	Princeton University	3.67
2	Massachusetts Institute of Technology (MIT)	4.00
3	Stanford University	4.00
4	University of Cambridge	5.00
5	University of Oxford	6.00
6	University of California, Berkeley	6.33
7	Harvard University	8.33
8	ETH Zurich	8.67
9	University of California, Los Angeles (UCLA)	11.67
10	Imperial College London	13.67
11	Paris Sciences et Lettres (PSL University)	15.33
12	University of Chicago	16.00
13	Columbia University	18.00
14	California Institute of Technology (Caltech)	18.33
15	University of Toronto	22.33
16	Peking University	24.33
17	University of Michigan-Ann Arbor	24.33
18	University of Texas at Austin	24.33
19	New York University (NYU)	24.67
20	Sorbonne University	26.33
21	National University of Singapore (NUS)	29.33
22	Swiss Federal Institute of Technology Lausanne (EPFL)	30.00
23	Yale University	31.33
24	Georgia Institute of Technology (Georgia Tech)	32.00
25	Tsinghua University	33.00
26	University of Wisconsin–Madison	34.33
27	University of British Columbia	37.00
28	University of Illinois at Urbana-Champaign	38.67
29	University of Edinburgh	39.00
30	University of Tokyo	39.33
31	Fudan University	40.33
32	University of Washington	40.33
33	Paris-Saclay University	42.67
34	University College London (UCL)	43.33
35	Kyoto University	45.00
36	Cornell University	46.00
37	University of California, San Diego (UCSD)	46.00
38	Northwestern University	46.33
39	University of Warwick	46.67
40	Technical University of Munich	47.33
41	Brown University	48.00
42	University of Maryland, College Park	52.67
43	University of Paris	55.33
44	Nanyang Technological University (NTU)	55.67
45	University of Pennsylvania	55.67
46	University of Bonn	57.00
47	Carnegie Mellon University	60.33
48	KTH Royal Institute of Technology	60.33
49	University of Science and Technology of China	60.33
50	McGill University	61.33
51	Australian National University	64.67
52	Hong Kong University of Science and Technology	65.00
53	University of Hong Kong	69.00
54	Duke University	69.00
55	Johns Hopkins University	69.00
56	University of Melbourne	69.67
57	University of Manchester	69.67
58	Humboldt University of Berlin	69.67
59	Shanghai Jiao Tong University	71.00
60	Chinese University of Hong Kong (CUHK)	72.00
